index,Question Name,Question Difficulty,Question Description,Question Url
10,"
Wooden Toy Festival                    ",1400,"In a small town, there is a workshop specializing in woodwork. Since the town is small, only three carvers work there. Soon, a wooden toy festival is planned in the town. The workshop employees want to prepare for it. They know that n people will come to the workshop with a request to make a wooden toy. People are different and may want different toys. For simplicity, let's denote the pattern of the toy that the i-th person wants as ai (1≤ai≤109). Each of the carvers can choose an integer pattern x (1≤x≤109) in advance, different carvers can choose different patterns. x is the integer. During the preparation for the festival, the carvers will perfectly work out the technique of making the toy of the chosen pattern, which will allow them to cut it out of wood instantly. To make a toy of pattern y for a carver who has chosen pattern x, it will take |x−y| time, because the more the toy resembles the one he can make instantly, the faster the carver will cope with the work. On the day of the festival, when the next person comes to the workshop with a request to make a wooden toy, the carvers can choose who will take on the job. At the same time, the carvers are very skilled people and can work on orders for different people simultaneously. Since people don't like to wait, the carvers want to choose patterns for preparation in such a way that the maximum waiting time over all people is as small as possible. Output the best maximum waiting time that the carvers can achieve.",https://codeforces.com/problemset/problem/1840/D
11,"
Ski Resort                    ",1000,"Dima Vatrushin is a math teacher at school. He was sent on vacation for n days for his good work. Dima has long dreamed of going to a ski resort, so he wants to allocate several consecutive days and go skiing. Since the vacation requires careful preparation, he will only go for at least k days. You are given an array a containing the weather forecast at the resort. That is, on the i-th day, the temperature will be ai degrees. Dima was born in Siberia, so he can go on vacation only if the temperature does not rise above q degrees throughout the vacation. Unfortunately, Dima was so absorbed in abstract algebra that he forgot how to count. He asks you to help him and count the number of ways to choose vacation dates at the resort.",https://codeforces.com/problemset/problem/1840/C
12,"
Binary Cafe                    ",1100,"Once upon a time, Toma found himself in a binary cafe. It is a very popular and unusual place. The cafe offers visitors k different delicious desserts. The desserts are numbered from 0 to k−1. The cost of the i-th dessert is 2i coins, because it is a binary cafe! Toma is willing to spend no more than n coins on tasting desserts. At the same time, he is not interested in buying any dessert more than once, because one is enough to evaluate the taste. In how many different ways can he buy several desserts (possibly zero) for tasting?",https://codeforces.com/problemset/problem/1840/B
13,"
Cipher Shifer                    ",800,"There is a string a (unknown to you), consisting of lowercase Latin letters, encrypted according to the following rule into string s: You are given string s, and you need to output the initial string a. In other words, you need to decrypt string s. Note that each string encrypted in this way is decrypted uniquely.",https://codeforces.com/problemset/problem/1840/A
14,"
Decreasing Game                    ",2400,This is an interactive problem. Consider the following game for two players: It can be shown that game always ends after the finite number of rounds. You have to select which player you will play for (first or second) and win the game.,https://codeforces.com/problemset/problem/1839/E
15,"
Ball Sorting                    ",2100,"There are n colorful balls arranged in a row. The balls are painted in n distinct colors, denoted by numbers from 1 to n. The i-th ball from the left is painted in color ci. You want to reorder the balls so that the i-th ball from the left has color i. Additionally, you have k≥1 balls of color 0 that you can use in the reordering process. Due to the strange properties of the balls, they can be reordered only by performing the following operations: You can perform these operations in any order. After the last operation, all balls of color 0 magically disappear, leaving a sequence of n balls of non-zero colors. What is the minimum amount of coins you should spend on the operations of the second type, so that the i-th ball from the left has color i for all i from 1 to n after the disappearance of all balls of color zero? It can be shown that under the constraints of the problem, it is always possible to reorder the balls in the required way.  Solve the problem for all k from 1 to n.",https://codeforces.com/problemset/problem/1839/D
16,"
Insert Zero and Invert Prefix                    ",1300,"You have a sequence a1,a2,…,an of length n, each element of which is either 0 or 1, and a sequence b, which is initially empty. You are going to perform n operations. On each of them you will increase the length of b by 1. You can find examples of operations in the Notes section. Determine if there exists a sequence of operations that makes b equal to a. If such sequence of operations exists, find it.",https://codeforces.com/problemset/problem/1839/C
17,"
Lamps                    ",1100,"You have n lamps, numbered by integers from 1 to n. Each lamp i has two integer parameters ai and bi. At each moment each lamp is in one of three states: it may be turned on, turned off, or broken. Initially all lamps are turned off. In one operation you can select one lamp that is turned off and turn it on (you can't turn on broken lamps). You receive bi points for turning lamp i on. The following happens after each performed operation:  Please note that broken lamps never count as turned on and that after a turned on lamp breaks, you still keep points received for turning it on. You can perform an arbitrary number of operations. Find the maximum number of points you can get.",https://codeforces.com/problemset/problem/1839/B
18,"
The Good Array                    ",800,"You are given two integers n and k. An array a1,a2,…,an of length n, consisting of zeroes and ones is good if for all integers i from 1 to n both of the following conditions are satisfied: Here, ⌈ik⌉ denotes the result of division of i by k, rounded up. For example, ⌈63⌉=2, ⌈115⌉=⌈2.2⌉=3 and ⌈74⌉=⌈1.75⌉=2. Find the minimum possible number of ones in a good array.",https://codeforces.com/problemset/problem/1839/A
19,"
Stuck Conveyor                    ",3000,"This is an interactive problem. There is an n by n grid of conveyor belts, in positions (1,1) through (n,n) of a coordinate plane. Every other square in the plane is empty. Each conveyor belt can be configured to move boxes up ('^'), down ('v'), left ('<'), or right ('>'). If a box moves onto an empty square, it stops moving. However, one of the n2 belts is stuck, and will always move boxes in the same direction, no matter how it is configured. Your goal is to perform a series of tests to determine which conveyor belt is stuck, and the direction in which it sends items. To achieve this, you can perform up to 25 tests. In each test, you assign a direction to all n2 belts, place a box on top of one of them, and then turn all of the conveyors on.  The conveyors move the box around too quickly for you to see, so the only information you receive from a test is whether the box eventually stopped moving, and if so, the coordinates of its final position.",https://codeforces.com/problemset/problem/1838/F
20,"
Count Supersequences                    ",2500,"You are given an array a of n integers, where all elements ai lie in the range [1,k]. How many different arrays b of m integers, where all elements bi lie in the range [1,k], contain a as a subsequence? Two arrays are considered different if they differ in at least one position. A sequence x is a subsequence of a sequence y if x can be obtained from y by the deletion of several (possibly, zero or all) elements. Since the answer may be large, print it modulo 109+7.",https://codeforces.com/problemset/problem/1838/E
21,"
Bracket Walk                    ",2100,"There is a string s of length n consisting of the characters '(' and ')'. You are walking on this string. You start by standing on top of the first character of s, and you want to make a sequence of moves such that you end on the n-th character. In one step, you can move one space to the left (if you are not standing on the first character), or one space to the right (if you are not standing on the last character). You may not stay in the same place, however you may visit any character, including the first and last character, any number of times. At each point in time, you write down the character you are currently standing on. We say the string is walkable if there exists some sequence of moves that take you from the first character to the last character, such that the string you write down is a regular bracket sequence. A regular bracket sequence is a bracket sequence that can be transformed into a correct arithmetic expression by inserting characters '1' and '+' between the original characters of the sequence. For example, bracket sequences ""()()"", ""(())"" are regular (the resulting expressions are: ""(1)+(1)"", ""((1+1)+1)""), and "")("" and ""("" are not. You are given q queries. Each query flips the value of a character from '(' to ')' or vice versa. After each query, determine whether the string is walkable. Queries are cumulative, so the effects of each query carry on to future queries.",https://codeforces.com/problemset/problem/1838/D
22,"
No Prime Differences                    ",1400,"You are given integers n and m. Fill an n by m grid with the integers 1 through n⋅m, in such a way that for any two adjacent cells in the grid, the absolute difference of the values in those cells is not a prime number. Two cells in the grid are considered adjacent if they share a side. It can be shown that under the given constraints, there is always a solution.",https://codeforces.com/problemset/problem/1838/C
23,"
Minimize Permutation Subarrays                    ",1100,"You are given a permutation p of size n. You want to minimize the number of subarrays of p that are permutations. In order to do so, you must perform the following operation exactly once: For example, if p=[5,1,4,2,3] and we choose i=2, j=3, the resulting array will be [5,4,1,2,3]. If instead we choose i=j=5, the resulting array will be [5,1,4,2,3]. Which choice of i and j will minimize the number of subarrays that are permutations? A permutation of length n is an array consisting of n distinct integers from 1 to n in arbitrary order. For example, [2,3,1,5,4] is a permutation, but [1,2,2] is not a permutation (2 appears twice in the array), and [1,3,4] is also not a permutation (n=3 but there is 4 in the array). An array a is a subarray of an array b if a can be obtained from b by the deletion of several (possibly, zero or all) elements from the beginning and several (possibly, zero or all) elements from the end.",https://codeforces.com/problemset/problem/1838/B
24,"
Blackboard List                    ",800,"Two integers were written on a blackboard. After that, the following step was carried out n−2 times: After this process was complete, the list of n integers was shuffled. You are given the final list. Recover one of the initial two numbers. You do not need to recover the other one. You are guaranteed that the input can be generated using the above process.",https://codeforces.com/problemset/problem/1838/A
25,"
Editorial for Two                    ",2400,"Berland Intercollegiate Contest has just finished. Monocarp and Polycarp, as the jury, are going to conduct an editorial. Unfortunately, the time is limited, since they have to finish before the closing ceremony. There were n problems in the contest. The problems are numbered from 1 to n. The editorial for the i-th problem takes ai minutes. Monocarp and Polycarp are going to conduct an editorial for exactly k of the problems. The editorial goes as follows. They have a full problemset of n problems before them, in order. They remove n−k problems without changing the order of the remaining k problems. Then, Monocarp takes some prefix of these k problems (possibly, an empty one or all problems). Polycarp takes the remaining suffix of them. After that, they go to different rooms and conduct editorials for their problems in parallel. So, the editorial takes as much time as the longer of these two does. Please, help Monocarp and Polycarp to choose the problems and the split in such a way that the editorial finishes as early as possible. Print the duration of the editorial.",https://codeforces.com/problemset/problem/1837/F
26,"
Playoff Fixing                    ",2200,"2k teams participate in a playoff tournament. The teams are numbered from 1 to 2k, in order of decreasing strength. So, team 1 is the strongest one, team 2k is the weakest one. A team with a smaller number always defeats a team with a larger number. First of all, the teams are arranged in some order during a procedure called seeding. Each team is assigned another unique value from 1 to 2k, called a seed, that represents its starting position in the playoff. The tournament consists of 2k−1 games. They are held as follows: the teams are split into pairs: team with seed 1 plays against team with seed 2, team with seed 3 plays against team with seed 4 (exactly in this order), and so on (so, 2k−1 games are played in that phase). When a team loses a game, it is eliminated. After that, only 2k−1 teams remain. If only one team remains, it is declared the champion; otherwise, 2k−2 games are played: in the first one of them, the winner of the game ""seed 1 vs seed 2"" plays against the winner of the game ""seed 3 vs seed 4"", then the winner of the game ""seed 5 vs seed 6"" plays against the winner of the game ""seed 7 vs seed 8"", and so on. This process repeats until only one team remains. After the tournament ends, the teams are assigned places according to the tournament phase when they were eliminated. In particular: Now that we established the rules, we do a little rigging. In particular, we want:  For example, this picture describes one of the possible ways the tournament can go with k=3, and the resulting places of the teams: Some seeds are already reserved for some teams (we are not the only ones rigging the tournament, apparently). We have to fill the rest of the seeds with the remaining teams to achieve the desired placements. How many ways are there to do that? Since that value might be large, print it modulo 998244353.",https://codeforces.com/problemset/problem/1837/E
27,"
Bracket Coloring                    ",1400,"A regular bracket sequence is a bracket sequence that can be transformed into a correct arithmetic expression by inserting characters ""1"" and ""+"" between the original characters of the sequence. For example: A bracket sequence is called beautiful if one of the following conditions is satisfied: For example, the bracket sequences ""()()"", ""(())"", "")))((("", ""))()(("" are beautiful. You are given a bracket sequence s. You have to color it in such a way that: Color the given bracket sequence s into the minimum number of colors according to these constraints, or report that it is impossible.",https://codeforces.com/problemset/problem/1837/D
28,"
Best Binary String                    ",1000,"You are given a string s consisting of the characters 0, 1 and/or ?. Let's call it a pattern. Let's say that the binary string (a string where each character is either 0 or 1) matches the pattern if you can replace each character ? with 0 or 1 (for each character, the choice is independent) so that the strings become equal. For example, 0010 matches ?01?, but 010 doesn't match 1??, ??, or ????. Let's define the cost of the binary string as the minimum number of operations of the form ""reverse an arbitrary contiguous substring of the string"" required to sort the string in non-descending order. You have to find a binary string with the minimum possible cost among those that match the given pattern. If there are multiple answers, print any of them.",https://codeforces.com/problemset/problem/1837/C
29,"
Comparison String                    ",900,"You are given a string s of length n, where each character is either < or >. An array a consisting of n+1 elements is compatible with the string s if, for every i from 1 to n, the character si represents the result of comparing ai and ai+1, i. e.: For example, the array [1,2,5,4,2] is compatible with the string <<>>. There are other arrays with are compatible with that string, for example, [13,37,42,37,13]. The cost of the array is the number of different elements in it. For example, the cost of [1,2,5,4,2] is 4; the cost of [13,37,42,37,13] is 3. You have to calculate the minimum cost among all arrays which are compatible with the given string s.",https://codeforces.com/problemset/problem/1837/B
30,"
Grasshopper on a Line                    ",800,"You are given two integers x and k. Grasshopper starts in a point 0 on an OX axis. In one move, it can jump some integer distance, that is not divisible by k, to the left or to the right. What's the smallest number of moves it takes the grasshopper to reach point x? What are these moves? If there are multiple answers, print any of them.",https://codeforces.com/problemset/problem/1837/A
31,"
Ksyusha and Chinchilla                    ",1800,"Ksyusha has a pet chinchilla, a tree on n vertices and huge scissors. A tree is a connected graph without cycles. During a boring physics lesson Ksyusha thought about how to entertain her pet. Chinchillas like to play with branches. A branch is a tree of 3 vertices. A cut is the removal of some (not yet cut) edge in the tree. Ksyusha has plenty of free time, so she can afford to make enough cuts so that the tree splits into branches. In other words, after several (possibly zero) cuts, each vertex must belong to exactly one branch. Help Ksyusha choose the edges to be cut or tell that it is impossible.",https://codeforces.com/problemset/problem/1833/G
32,"
Ira and Flamenco                    ",1700,"Ira loves Spanish flamenco dance very much. She decided to start her own dance studio and found n students, ith of whom has level ai. Ira can choose several of her students and set a dance with them. So she can set a huge number of dances, but she is only interested in magnificent dances. The dance is called magnificent if the following is true:  For example, if m=3 and a=[4,2,2,3,6], the following dances are magnificent (students participating in the dance are highlighted in red): [4,2,2,3,6], [4,2,2,3,6]. At the same time dances [4,2,2,3,6], [4,2,2,3,6], [4,2,2,3,6] are not magnificent. In the dance [4,2,2,3,6] only 2 students participate, although m=3. The dance [4,2,2,3,6] involves students with levels 2 and 2, although levels of all dancers must be pairwise distinct. In the dance [4,2,2,3,6] students with levels 3 and 6 participate, but |3−6|=3, although m=3. Help Ira count the number of magnificent dances that she can set. Since this number can be very large, count it modulo 109+7. Two dances are considered different if the sets of students participating in them are different.",https://codeforces.com/problemset/problem/1833/F
33,"
Round Dance                    ",1600,"n people came to the festival and decided to dance a few round dances. There are at least 2 people in the round dance and each person has exactly two neighbors. If there are 2 people in the round dance then they have the same neighbor on each side. You decided to find out exactly how many dances there were. But each participant of the holiday remembered exactly one neighbor. Your task is to determine what the minimum and maximum number of round dances could be. For example, if there were 6 people at the holiday, and the numbers of the neighbors they remembered are equal [2,1,4,3,6,5], then the minimum number of round dances is1:",https://codeforces.com/problemset/problem/1833/E
34,"
Flipper                    ",1400,"You are given a permutation p of length n. A permutation is an array consisting of n distinct integers from 1 to n in any order. For example, {2,3,1,5,4} is a permutation, while {1,2,2} is not (since 2 appears twice), and {1,3,4} is also not a permutation (as n=3, but the array contains 4). To the permutation p, you need to apply the following operation exactly once: For example, given n=5,p={2,3,1,5,4}, if you choose the segment [l=2,r=3], after reversing the segment p={2,1,3,5,4}, then you swap the segments [4,5] and [1,1]. Thus, p={5,4,1,3,2}. It can be shown that this is the maximum possible result for the given permutation. You need to output the lexicographically maximum permutation that can be obtained by applying the operation described exactly once. A permutation a is lexicographically greater than permutation b if there exists an i (1≤i≤n) such that aj=bj for 1≤j<i and ai>bi.",https://codeforces.com/problemset/problem/1833/D
35,"
Vlad Building Beautiful Array                    ",800,"Vlad was given an array a of n positive integers. Now he wants to build a beautiful array b of length n from it. Vlad considers an array beautiful if all the numbers in it are positive and have the same parity. That is, all numbers in the beautiful array are greater than zero and are either all even or all odd. To build the array b, Vlad can assign each bi either the value ai or ai−aj, where any j from 1 to n can be chosen. To avoid trying to do the impossible, Vlad asks you to determine whether it is possible to build a beautiful array b of length n using his array a.",https://codeforces.com/problemset/problem/1833/C
36,"
Restore the Weather                    ",900,"You are given an array a containing the weather forecast for Berlandia for the last n days. That is, ai — is the estimated air temperature on day i (1≤i≤n). You are also given an array b — the air temperature that was actually present on each of the days. However, all the values in array b are mixed up.  Determine which day was which temperature, if you know that the weather never differs from the forecast by more than k degrees. In other words, if on day i the real air temperature was c, then the equality |ai−c|≤k is always true. For example, let an array a = [1,3,5,3,9] of length n=5 and k=2 be given and an array b = [2,5,11,2,4]. Then, so that the value of bi corresponds to the air temperature on day i, we can rearrange the elements of the array b so: [2,2,5,4,11]. Indeed:",https://codeforces.com/problemset/problem/1833/B
37,"
Musical Puzzle                    ",800,"Vlad decided to compose a melody on his guitar. Let's represent the melody as a sequence of notes corresponding to the characters 'a', 'b', 'c', 'd', 'e', 'f', and 'g'. However, Vlad is not very experienced in playing the guitar and can only record exactly two notes at a time. Vlad wants to obtain the melody s, and to do this, he can merge the recorded melodies together. In this case, the last sound of the first melody must match the first sound of the second melody. For example, if Vlad recorded the melodies ""ab"" and ""ba"", he can merge them together and obtain the melody ""aba"", and then merge the result with ""ab"" to get ""abab"". Help Vlad determine the minimum number of melodies consisting of two notes that he needs to record in order to obtain the melody s.",https://codeforces.com/problemset/problem/1833/A
38,"
Zombies                    ",3200,"Polycarp plays a computer game in a post-apocalyptic setting. The zombies have taken over the world, and Polycarp with a small team of survivors is defending against hordes trying to invade their base. The zombies are invading for x minutes starting from minute 0. There are n entrances to the base, and every minute one zombie attempts to enter through every entrance. The survivors can defend the entrances against the zombies. There are two options:  If an entrance is defended either or both ways during some minute, no zombie goes through. Every entrance is defended by a single dedicated survivor. The i-th entrance is defended manually from minute li until minute ri, non-inclusive — [li,ri). There are k generators that can be used to defend the entrances automatically. Every entrance should be connected to exactly one generator, but a generator can be connected to multiple entrances (or even none of them). Each generator will work for exactly m consecutive minutes. Polycarp can choose when to power on each generator independently of each other, the m minute long interval should be fully inside the [0,x) time interval. Polycarp is a weird gamer. He wants the game to be as difficult as possible for him. So he wants to connect each entrance to a generator and choose the time for each generator in such a way that as many zombies as possible enter the base. Please, help him to achieve that!",https://codeforces.com/problemset/problem/1832/F
39,"
Combinatorics Problem                    ",2200,"Recall that the binomial coefficient (xy) is calculated as follows (x and y are non-negative integers): You are given an array a1,a2,…,an and an integer k. You have to calculate a new array b1,b2,…,bn, where Formally, bi=(i∑j=1(i−j+1k)⋅aj)mod998244353. Note that the array is given in a modified way, and you have to output it in a modified way as well.",https://codeforces.com/problemset/problem/1832/E
40,"
Red-Blue Operations (Hard Version)                    ",2400,"The only difference between easy and hard versions is the maximum values of n and q. You are given an array, consisting of n integers. Initially, all elements are red. You can apply the following operation to the array multiple times. During the i-th operation, you select an element of the array; then:  The operations are numbered from 1, i. e. during the first operation some element is changed by 1 and so on. You are asked q queries of the following form:  Note that the operations don't affect the array between queries, all queries are asked on the initial array a.",https://codeforces.com/problemset/problem/1832/D2
41,"
Red-Blue Operations (Easy Version)                    ",2100,"The only difference between easy and hard versions is the maximum values of n and q. You are given an array, consisting of n integers. Initially, all elements are red. You can apply the following operation to the array multiple times. During the i-th operation, you select an element of the array; then:  The operations are numbered from 1, i. e. during the first operation some element is changed by 1 and so on. You are asked q queries of the following form:  Note that the operations don't affect the array between queries, all queries are asked on the initial array a.",https://codeforces.com/problemset/problem/1832/D1
42,"
Contrast Value                    ",1200,"For an array of integers [a1,a2,…,an], let's call the value |a1−a2|+|a2−a3|+⋯+|an−1−an| the contrast of the array. Note that the contrast of an array of size 1 is equal to 0. You are given an array of integers a. Your task is to build an array of b in such a way that all the following conditions are met: What is the minimum possible size of the array b?",https://codeforces.com/problemset/problem/1832/C
43,"
Maximum Sum                    ",1100,"You are given an array a1,a2,…,an, where all elements are different. You have to perform exactly k operations with it. During each operation, you do exactly one of the following two actions (you choose which to do yourself): You have to calculate the maximum possible sum of elements in the resulting array.",https://codeforces.com/problemset/problem/1832/B
44,"
New Palindrome                    ",800,"A palindrome is a string that reads the same from left to right as from right to left. For example, abacaba, aaaa, abba, racecar are palindromes. You are given a string s consisting of lowercase Latin letters. The string s is a palindrome. You have to check whether it is possible to rearrange the letters in it to get another palindrome (not equal to the given string s).",https://codeforces.com/problemset/problem/1832/A
45,"
Array merging                    ",1000,"You are given two arrays a and b both of length n. You will merge† these arrays forming another array c of length 2⋅n. You have to find the maximum length of a subarray consisting of equal values across all arrays c that could be obtained. † A merge of two arrays results in an array c composed by successively taking the first element of either array (as long as that array is nonempty) and removing it. After this step, the element is appended to the back of c. We repeat this operation as long as we can (i.e. at least one array is nonempty).",https://codeforces.com/problemset/problem/1831/B
46,"
Twin Permutations                    ",800,"You are given a permutation† a of length n. Find any permutation b of length n such that a1+b1≤a2+b2≤a3+b3≤…≤an+bn. It can be proven that a permutation b that satisfies the condition above always exists. † A permutation of length n is an array consisting of n distinct integers from 1 to n in arbitrary order. For example, [2,3,1,5,4] is a permutation, but [1,2,2] is not a permutation (2 appears twice in the array), and [1,3,4] is also not a permutation (n=3 but there is 4 in the array).",https://codeforces.com/problemset/problem/1831/A
47,"
The Third Grace                    ",3200,"You are given n intervals and m points on the number line. The i-th intervals covers coordinates [li,ri] and the i-th point is on coordinate i and has coefficient pi. Initially, all points are not activated. You should choose a subset of the m points to activate. For each of n interval, we define its cost as:  Your task is to maximize the sum of the costs of all intervals by choosing which points to activate.",https://codeforces.com/problemset/problem/1830/F
48,"
Bully Sort                    ",3500,"On a permutation p of length n, we define a bully swap as follows: We define f(p) as the number of bully swaps we need to perform until p becomes sorted. Note that if p is the identity permutation, f(p)=0. You are given n and a permutation p of length n. You need to process the following q updates. In each update, you are given two integers x and y. You will swap px and py and then find the value of f(p). Note that the updates are persistent. Changes made to the permutation p will apply when processing future updates.",https://codeforces.com/problemset/problem/1830/E
49,"
Mex Tree                    ",2800,"You are given a tree with n nodes. For each node, you either color it in 0 or 1. The value of a path (u,v) is equal to the MEX† of the colors of the nodes from the shortest path between u and v. The value of a coloring is equal to the sum of values of all paths (u,v) such that 1≤u≤v≤n. What is the maximum possible value of any coloring of the tree? † The MEX (minimum excluded) of an array is the smallest non-negative integer that does not belong to the array. For instance:",https://codeforces.com/problemset/problem/1830/D
50,"
Hyperregular Bracket Strings                    ",2400,"You are given an integer n and k intervals. The i-th interval is [li,ri] where 1≤li≤ri≤n. Let us call a regular bracket sequence†,‡ of length n hyperregular if for each i such that 1≤i≤k, the substring ¯slisli+1…sri is also a regular bracket sequence. Your task is to count the number of hyperregular bracket sequences. Since this number can be really large, you are only required to find it modulo 998244353. † A bracket sequence is a string containing only the characters ""("" and "")"". ‡ A bracket sequence is called regular if one can turn it into a valid math expression by adding characters + and 1. For example, sequences (())(), (), (()(())) and the empty string are regular, while )(, ((), and (()))( are not.",https://codeforces.com/problemset/problem/1830/C
51,"
The BOSS Can Count Pairs                    ",2000,"You are given two arrays a and b, both of length n. Your task is to count the number of pairs of integers (i,j) such that 1≤i<j≤n and ai⋅aj=bi+bj.",https://codeforces.com/problemset/problem/1830/B
